ID,CLASS,IDX_B,IDX_O,TEXT
197_71.ann_R1,Support,Ent1:T20,Ent2:T4,
197_71.ann_R2,Support,Ent1:T23,Ent2:T14,
197_71.ann_R3,Support,Ent1:T1,Ent2:T15,
197_71.ann_R4,Support,Ent1:T2,Ent2:T16,
146_231.ann_R1,Support,Ent1:T22,Ent2:T16,
146_231.ann_R2,Support,Ent1:T23,Ent2:T16,
146_231.ann_R3,Support,Ent1:T11,Ent2:T16,
146_231.ann_R4,Support,Ent1:T26,Ent2:T16,
157_73.ann_R1,Support,Ent1:T1,Ent2:T16,
157_73.ann_R2,Support,Ent1:T16,Ent2:T17,
157_73.ann_R3,Attack,Ent1:T17,Ent2:T6,
157_73.ann_R4,Attack,Ent1:T17,Ent2:T10,
157_73.ann_R5,Attack,Ent1:T22,Ent2:T9,
157_73.ann_R6,Attack,Ent1:T18,Ent2:T9,
157_73.ann_R7,Support,Ent1:T22,Ent2:T18,
157_73.ann_R8,Attack,Ent1:T24,Ent2:T9,
157_73.ann_R9,Attack,Ent1:T27,Ent2:T7,
157_73.ann_R10,Support,Ent1:T32,Ent2:T8,
174_52.ann_R1,Support,Ent1:T21,Ent2:T19,
174_52.ann_R2,Support,Ent1:T4,Ent2:T21,
174_52.ann_R3,Support,Ent1:T1,Ent2:T21,
174_52.ann_R4,Support,Ent1:T2,Ent2:T21,
174_52.ann_R5,Support,Ent1:T6,Ent2:T21,
196_164.ann_R1,Attack,Ent1:T21,Ent2:T14,
196_164.ann_R2,Support,Ent1:T24,Ent2:T16,
190_94.ann_R1,Support,Ent1:T17,Ent2:T10,
190_94.ann_R2,Support,Ent1:T3,Ent2:T17,
190_94.ann_R3,Support,Ent1:T2,Ent2:T17,
107_206.ann_R1,Support,Ent1:T18,Ent2:T6,
120_192.ann_R1,Support,Ent1:T14,Ent2:T5,
120_192.ann_R2,Support,Ent1:T1,Ent2:T5,
120_192.ann_R3,Attack,Ent1:T1,Ent2:T3,
120_192.ann_R4,Attack,Ent1:T1,Ent2:T4,
120_192.ann_R5,Attack,Ent1:T1,Ent2:T7,
120_192.ann_R6,Attack,Ent1:T14,Ent2:T3,
120_192.ann_R7,Attack,Ent1:T14,Ent2:T4,
120_192.ann_R8,Attack,Ent1:T14,Ent2:T7,
116_101.ann_R1,Attack,Ent1:T14,Ent2:T12,
116_101.ann_R2,Support,Ent1:T14,Ent2:T15,
116_101.ann_R3,Attack,Ent1:T15,Ent2:T12,
116_101.ann_R4,Attack,Ent1:T17,Ent2:T6,
116_101.ann_R5,Support,Ent1:T18,Ent2:T17,
116_101.ann_R6,Attack,Ent1:T18,Ent2:T6,
116_101.ann_R7,Support,Ent1:T21,Ent2:T9,
116_101.ann_R8,Attack,Ent1:T22,Ent2:T10,
116_101.ann_R9,Support,Ent1:T22,Ent2:T9,
116_101.ann_R10,Support,Ent1:T1,Ent2:T9,
116_101.ann_R11,Support,Ent1:T2,Ent2:T9,
116_101.ann_R12,Support,Ent1:T22,Ent2:T23,
116_101.ann_R13,Support,Ent1:T23,Ent2:T9,
123_223.ann_R1,Support,Ent1:T12,Ent2:T7,
123_223.ann_R2,Support,Ent1:T13,Ent2:T7,
123_223.ann_R3,Support,Ent1:T4,Ent2:T7,
109_149.ann_R1,Support,Ent1:T12,Ent2:T7,
109_149.ann_R2,Support,Ent1:T13,Ent2:T7,
109_149.ann_R3,Support,Ent1:T2,Ent2:T7,
199_74.ann_R1,Attack,Ent1:T15,Ent2:T5,
199_74.ann_R2,Attack,Ent1:T15,Ent2:T7,
199_74.ann_R3,Attack,Ent1:T15,Ent2:T9,
199_74.ann_R4,Support,Ent1:T1,Ent2:T2,
199_74.ann_R5,Support,Ent1:T21,Ent2:T2,
199_74.ann_R6,Attack,Ent1:T1,Ent2:T20,
199_74.ann_R7,Support,Ent1:T24,Ent2:T6,
199_74.ann_R8,Support,Ent1:T21,Ent2:T24,
199_74.ann_R9,Support,Ent1:T1,Ent2:T24,
173_51.ann_R1,Support,Ent1:T22,Ent2:T16,
173_51.ann_R2,Support,Ent1:T35,Ent2:T16,
182_61.ann_R1,Support,Ent1:T22,Ent2:T16,
105_233.ann_R2,Attack,Ent1:T9,Ent2:T7,
105_233.ann_R1,Attack,Ent1:T1,Ent2:T7,
153_74.ann_R1,Support,Ent1:T1,Ent2:T12,
153_74.ann_R2,Support,Ent1:T12,Ent2:T14,
153_74.ann_R3,Support,Ent1:T14,Ent2:T2,
153_74.ann_R4,Attack,Ent1:T17,Ent2:T4,
153_74.ann_R5,Attack,Ent1:T18,Ent2:T12,
153_74.ann_R6,Attack,Ent1:T12,Ent2:T5,
153_74.ann_R7,Support,Ent1:T14,Ent2:T16,
153_74.ann_R8,Support,Ent1:T16,Ent2:T12,
133_168.ann_R1,Support,Ent1:T12,Ent2:T7,
133_168.ann_R3,Attack,Ent1:T13,Ent2:T8,
133_168.ann_R4,Support,Ent1:T15,Ent2:T17,
133_168.ann_R5,Support,Ent1:T17,Ent2:T7,
133_168.ann_R6,Attack,Ent1:T3,Ent2:T4,
133_168.ann_R7,Attack,Ent1:T21,Ent2:T4,
133_168.ann_R8,Attack,Ent1:T22,Ent2:T5,
133_168.ann_R9,Attack,Ent1:T3,Ent2:T5,
133_168.ann_R10,Attack,Ent1:T24,Ent2:T6,
133_168.ann_R11,Attack,Ent1:T3,Ent2:T6,
133_168.ann_R12,Support,Ent1:T19,Ent2:T7,
144_142.ann_R1,Support,Ent1:T11,Ent2:T6,
144_142.ann_R2,Support,Ent1:T22,Ent2:T6,
144_142.ann_R3,Support,Ent1:T1,Ent2:T6,
144_142.ann_R4,Support,Ent1:T2,Ent2:T6,
144_142.ann_R5,Support,Ent1:T24,Ent2:T23,
144_142.ann_R6,Support,Ent1:T23,Ent2:T6,
156_230.ann_R1,Support,Ent1:T12,Ent2:T3,
156_230.ann_R3,Attack,Ent1:T14,Ent2:T3,
156_230.ann_R2,Support,Ent1:T1,Ent2:T12,
156_230.ann_R4,Support,Ent1:T16,Ent2:T12,
156_230.ann_R5,Support,Ent1:T17,Ent2:T12,
156_230.ann_R6,Support,Ent1:T18,Ent2:T12,
156_230.ann_R7,Support,Ent1:T19,Ent2:T14,
156_230.ann_R8,Support,Ent1:T16,Ent2:T20,
156_230.ann_R9,Support,Ent1:T17,Ent2:T20,
156_230.ann_R10,Attack,Ent1:T14,Ent2:T20,
156_230.ann_R11,Support,Ent1:T20,Ent2:T3,
156_230.ann_R12,Support,Ent1:T1,Ent2:T23,
156_230.ann_R13,Attack,Ent1:T17,Ent2:T23,
156_230.ann_R14,Attack,Ent1:T23,Ent2:T2,
156_230.ann_R15,Support,Ent1:T1,Ent2:T2,
156_230.ann_R16,Attack,Ent1:T17,Ent2:T2,
156_230.ann_R17,Attack,Ent1:T16,Ent2:T2,
156_230.ann_R18,Support,Ent1:T25,Ent2:T23,
156_230.ann_R19,Attack,Ent1:T16,Ent2:T25,
149_162.ann_R1,Attack,Ent1:T15,Ent2:T5,
149_162.ann_R2,Attack,Ent1:T15,Ent2:T6,
149_162.ann_R3,Attack,Ent1:T15,Ent2:T7,
149_162.ann_R4,Attack,Ent1:T17,Ent2:T16,
149_162.ann_R5,Attack,Ent1:T16,Ent2:T4,
149_162.ann_R6,Support,Ent1:T18,Ent2:T19,
149_162.ann_R7,Support,Ent1:T19,Ent2:T8,
142_138.ann_R1,Support,Ent1:T22,Ent2:T17,
142_138.ann_R2,Support,Ent1:T3,Ent2:T26,
142_138.ann_R3,Attack,Ent1:T21,Ent2:T11,
142_138.ann_R4,Attack,Ent1:T3,Ent2:T11,
161_118.ann_R1,Support,Ent1:T10,Ent2:T8,
161_118.ann_R2,Support,Ent1:T10,Ent2:T11,
161_118.ann_R3,Support,Ent1:T12,Ent2:T8,
161_118.ann_R4,Support,Ent1:T15,Ent2:T12,
138_165.ann_R1,Attack,Ent1:T14,Ent2:T12,
138_165.ann_R2,Attack,Ent1:T14,Ent2:T4,
138_165.ann_R3,Attack,Ent1:T16,Ent2:T4,
138_165.ann_R4,Attack,Ent1:T16,Ent2:T12,
138_165.ann_R5,Attack,Ent1:T21,Ent2:T10,
138_165.ann_R6,Attack,Ent1:T21,Ent2:T8,
138_165.ann_R7,Support,Ent1:T24,Ent2:T6,
138_165.ann_R8,Support,Ent1:T17,Ent2:T6,
138_165.ann_R9,Support,Ent1:T26,Ent2:T6,
138_165.ann_R10,Support,Ent1:T2,Ent2:T6,
158_133.ann_R1,Support,Ent1:T1,Ent2:T12,
158_133.ann_R2,Support,Ent1:T2,Ent2:T12,
158_133.ann_R3,Support,Ent1:T3,Ent2:T12,
158_133.ann_R4,Support,Ent1:T12,Ent2:T13,
158_133.ann_R5,Support,Ent1:T13,Ent2:T5,
158_133.ann_R6,Support,Ent1:T17,Ent2:T5,
158_133.ann_R7,Attack,Ent1:T20,Ent2:T8,
158_133.ann_R8,Attack,Ent1:T1,Ent2:T8,
158_133.ann_R9,Attack,Ent1:T2,Ent2:T8,
158_133.ann_R10,Attack,Ent1:T22,Ent2:T8,
158_133.ann_R11,Attack,Ent1:T23,Ent2:T7,
158_133.ann_R12,Attack,Ent1:T26,Ent2:T6,
158_133.ann_R13,Attack,Ent1:T29,Ent2:T4,
158_133.ann_R14,Attack,Ent1:T31,Ent2:T4,
158_133.ann_R15,Support,Ent1:T2,Ent2:T33,
158_133.ann_R16,Attack,Ent1:T33,Ent2:T4,
158_133.ann_R17,Support,Ent1:T36,Ent2:T33,
198_73.ann_R1,Support,Ent1:T31,Ent2:T22,
198_73.ann_R2,Support,Ent1:T10,Ent2:T31,
198_73.ann_R3,Attack,Ent1:T33,Ent2:T21,
198_73.ann_R4,Attack,Ent1:T33,Ent2:T24,
198_73.ann_R5,Support,Ent1:T12,Ent2:T33,
198_73.ann_R6,Attack,Ent1:T36,Ent2:T23,
198_73.ann_R7,Attack,Ent1:T41,Ent2:T25,
106_135.ann_R1,Support,Ent1:T24,Ent2:T10,
106_135.ann_R2,Support,Ent1:T17,Ent2:T24,
106_135.ann_R3,Support,Ent1:T18,Ent2:T24,
106_135.ann_R4,Support,Ent1:T19,Ent2:T24,
106_135.ann_R5,Support,Ent1:T20,Ent2:T24,
106_135.ann_R6,Support,Ent1:T21,Ent2:T24,
106_135.ann_R7,Support,Ent1:T22,Ent2:T24,
106_135.ann_R8,Support,Ent1:T23,Ent2:T24,
106_135.ann_R9,Attack,Ent1:T25,Ent2:T7,
106_135.ann_R10,Support,Ent1:T1,Ent2:T10,
106_135.ann_R11,Support,Ent1:T2,Ent2:T10,
106_135.ann_R12,Support,Ent1:T3,Ent2:T10,
106_135.ann_R13,Support,Ent1:T4,Ent2:T10,
106_135.ann_R14,Support,Ent1:T5,Ent2:T10,
106_135.ann_R15,Support,Ent1:T6,Ent2:T10,
106_135.ann_R16,Support,Ent1:T6,Ent2:T24,
106_135.ann_R17,Attack,Ent1:T30,Ent2:T8,
106_135.ann_R18,Attack,Ent1:T38,Ent2:T9,
106_135.ann_R19,Attack,Ent1:T38,Ent2:T11,
106_135.ann_R20,Attack,Ent1:T38,Ent2:T10,
128_79.ann_R1,Support,Ent1:T17,Ent2:T11,
128_79.ann_R2,Support,Ent1:T4,Ent2:T11,
128_79.ann_R3,Support,Ent1:T3,Ent2:T11,
128_79.ann_R4,Attack,Ent1:T18,Ent2:T10,
128_79.ann_R6,Attack,Ent1:T18,Ent2:T8,
128_79.ann_R7,Attack,Ent1:T18,Ent2:T9,
128_79.ann_R8,Attack,Ent1:T21,Ent2:T12,
128_79.ann_R9,Attack,Ent1:T3,Ent2:T12,
128_79.ann_R5,Attack,Ent1:T1,Ent2:T10,
152_72.ann_R1,Support,Ent1:T18,Ent2:T11,
152_72.ann_R2,Support,Ent1:T2,Ent2:T18,
152_72.ann_R3,Support,Ent1:T22,Ent2:T11,
141_135.ann_R1,Support,Ent1:T22,Ent2:T12,
141_135.ann_R2,Support,Ent1:T23,Ent2:T12,
141_135.ann_R3,Support,Ent1:T2,Ent2:T12,
141_135.ann_R4,Support,Ent1:T4,Ent2:T12,
141_135.ann_R5,Support,Ent1:T5,Ent2:T12,
193_161.ann_R1,Support,Ent1:T9,Ent2:T7,
193_161.ann_R2,Support,Ent1:T13,Ent2:T14,
193_161.ann_R3,Attack,Ent1:T14,Ent2:T7,
124_46.ann_R1,Support,Ent1:T23,Ent2:T11,
124_46.ann_R2,Support,Ent1:T6,Ent2:T23,
125_105.ann_R1,Support,Ent1:T15,Ent2:T5,
125_105.ann_R2,Attack,Ent1:T17,Ent2:T5,
125_105.ann_R3,Support,Ent1:T4,Ent2:T19,
125_105.ann_R4,Support,Ent1:T26,Ent2:T6,
140_134.ann_R1,Support,Ent1:T17,Ent2:T8,
140_134.ann_R2,Support,Ent1:T18,Ent2:T8,
140_134.ann_R3,Support,Ent1:T2,Ent2:T8,
140_134.ann_R4,Support,Ent1:T20,Ent2:T8,
140_134.ann_R5,Support,Ent1:T18,Ent2:T20,
132_229.ann_R1,Support,Ent1:T9,Ent2:T20,
132_229.ann_R2,Support,Ent1:T2,Ent2:T26,
132_229.ann_R3,Support,Ent1:T27,Ent2:T28,
132_229.ann_R4,Support,Ent1:T6,Ent2:T27,
132_229.ann_R5,Attack,Ent1:T33,Ent2:T10,
132_229.ann_R6,Attack,Ent1:T6,Ent2:T10,
132_229.ann_R7,Support,Ent1:T34,Ent2:T11,
132_229.ann_R8,Support,Ent1:T36,Ent2:T11,
132_229.ann_R9,Support,Ent1:T2,Ent2:T11,
132_229.ann_R10,Support,Ent1:T43,Ent2:T11,
132_229.ann_R11,Support,Ent1:T7,Ent2:T11,
132_229.ann_R12,Support,Ent1:T6,Ent2:T11,
132_229.ann_R13,Attack,Ent1:T45,Ent2:T12,
132_229.ann_R14,Attack,Ent1:T47,Ent2:T13,
132_229.ann_R15,Attack,Ent1:T48,Ent2:T14,
177_93.ann_R1,Support,Ent1:T11,Ent2:T10,
177_93.ann_R2,Support,Ent1:T4,Ent2:T11,
177_93.ann_R3,Support,Ent1:T3,Ent2:T16,
177_93.ann_R4,Support,Ent1:T4,Ent2:T16,
177_93.ann_R5,Support,Ent1:T16,Ent2:T10,
177_93.ann_R6,Attack,Ent1:T18,Ent2:T7,
177_93.ann_R7,Attack,Ent1:T18,Ent2:T8,
115_98.ann_R1,Support,Ent1:T3,Ent2:T8,
115_98.ann_R2,Support,Ent1:T5,Ent2:T8,
115_98.ann_R3,Support,Ent1:T24,Ent2:T8,
115_98.ann_R4,Support,Ent1:T22,Ent2:T8,
115_98.ann_R5,Attack,Ent1:T24,Ent2:T6,
115_98.ann_R7,Attack,Ent1:T3,Ent2:T6,
115_98.ann_R8,Attack,Ent1:T5,Ent2:T6,
115_98.ann_R6,Attack,Ent1:T26,Ent2:T6,
115_98.ann_R9,Support,Ent1:T2,Ent2:T29,
115_98.ann_R10,Attack,Ent1:T2,Ent2:T6,
115_98.ann_R11,Attack,Ent1:T29,Ent2:T6,
115_98.ann_R12,Attack,Ent1:T5,Ent2:T7,
115_98.ann_R13,Attack,Ent1:T31,Ent2:T7,
115_98.ann_R14,Support,Ent1:T36,Ent2:T8,
115_98.ann_R15,Support,Ent1:T4,Ent2:T8,
115_98.ann_R16,Support,Ent1:T41,Ent2:T8,
115_98.ann_R17,Support,Ent1:T43,Ent2:T8,
115_98.ann_R18,Support,Ent1:T1,Ent2:T8,
115_98.ann_R19,Support,Ent1:T45,Ent2:T8,
115_98.ann_R20,Attack,Ent1:T47,Ent2:T10,
115_98.ann_R21,Attack,Ent1:T5,Ent2:T10,
115_98.ann_R22,Attack,Ent1:T49,Ent2:T9,
115_98.ann_R23,Attack,Ent1:T5,Ent2:T9,
115_98.ann_R24,Support,Ent1:T3,Ent2:T9,
115_98.ann_R25,Support,Ent1:T24,Ent2:T9,
170_89.ann_R1,Attack,Ent1:T18,Ent2:T5,
170_89.ann_R2,Support,Ent1:T20,Ent2:T6,
170_89.ann_R3,Support,Ent1:T3,Ent2:T20,
170_89.ann_R4,Attack,Ent1:T24,Ent2:T8,
170_89.ann_R5,Attack,Ent1:T22,Ent2:T7,
112_154.ann_R1,Support,Ent1:T18,Ent2:T10,
112_154.ann_R2,Support,Ent1:T19,Ent2:T10,
112_154.ann_R3,Attack,Ent1:T22,Ent2:T9,
112_154.ann_R4,Support,Ent1:T24,Ent2:T11,
103_89.ann_R1,Attack,Ent1:T12,Ent2:T13,
181_59.ann_R1,Attack,Ent1:T14,Ent2:T8,
181_59.ann_R2,Attack,Ent1:T2,Ent2:T8,
171_226.ann_R1,Support,Ent1:T3,Ent2:T11,
171_226.ann_R2,Attack,Ent1:T13,Ent2:T8,
171_226.ann_R3,Support,Ent1:T15,Ent2:T7,
171_226.ann_R4,Support,Ent1:T18,Ent2:T10,
171_226.ann_R5,Support,Ent1:T16,Ent2:T9,
176_57.ann_R1,Support,Ent1:T6,Ent2:T22,
176_57.ann_R2,Support,Ent1:T2,Ent2:T22,
176_57.ann_R3,Support,Ent1:T25,Ent2:T13,
167_85.ann_R1,Support,Ent1:T14,Ent2:T3,
167_85.ann_R2,Support,Ent1:T14,Ent2:T6,
167_85.ann_R3,Support,Ent1:T14,Ent2:T8,
167_85.ann_R4,Support,Ent1:T17,Ent2:T14,
167_85.ann_R5,Support,Ent1:T1,Ent2:T16,
167_85.ann_R6,Support,Ent1:T1,Ent2:T18,
167_85.ann_R7,Attack,Ent1:T16,Ent2:T8,
167_85.ann_R8,Attack,Ent1:T16,Ent2:T3,
167_85.ann_R9,Support,Ent1:T16,Ent2:T6,
121_114.ann_R1,Support,Ent1:T12,Ent2:T11,
121_114.ann_R2,Support,Ent1:T13,Ent2:T11,
166_82.ann_R1,Support,Ent1:T2,Ent2:T14,
166_82.ann_R2,Support,Ent1:T17,Ent2:T4,
166_82.ann_R3,Support,Ent1:T17,Ent2:T18,
110_152.ann_R1,Support,Ent1:T15,Ent2:T9,
110_152.ann_R2,Support,Ent1:T16,Ent2:T9,
110_152.ann_R3,Support,Ent1:T4,Ent2:T9,
110_152.ann_R4,Support,Ent1:T2,Ent2:T9,
110_152.ann_R5,Support,Ent1:T3,Ent2:T9,
175_53.ann_R1,Support,Ent1:T3,Ent2:T10,
175_53.ann_R2,Support,Ent1:T10,Ent2:T5,
113_93.ann_R1,Support,Ent1:T1,Ent2:T17,
113_93.ann_R3,Support,Ent1:T17,Ent2:T18,
113_93.ann_R4,Support,Ent1:T18,Ent2:T9,
113_93.ann_R5,Support,Ent1:T18,Ent2:T6,
113_93.ann_R6,Attack,Ent1:T18,Ent2:T7,
113_93.ann_R7,Attack,Ent1:T18,Ent2:T8,
113_93.ann_R8,Support,Ent1:T20,Ent2:T9,
113_93.ann_R2,Support,Ent1:T2,Ent2:T17,
113_93.ann_R9,Attack,Ent1:T21,Ent2:T17,
113_93.ann_R10,Support,Ent1:T22,Ent2:T17,
113_93.ann_R11,Support,Ent1:T23,Ent2:T17,
113_93.ann_R12,Support,Ent1:T24,Ent2:T17,
113_93.ann_R13,Support,Ent1:T2,Ent2:T9,
113_93.ann_R14,Attack,Ent1:T18,Ent2:T6,
113_93.ann_R15,Attack,Ent1:T21,Ent2:T5,
113_93.ann_R16,Attack,Ent1:T25,Ent2:T5,
113_93.ann_R17,Support,Ent1:T29,Ent2:T9,
188_230.ann_R1,Attack,Ent1:T25,Ent2:T9,
188_230.ann_R3,Attack,Ent1:T29,Ent2:T7,
188_230.ann_R2,Attack,Ent1:T25,Ent2:T17,
188_230.ann_R4,Support,Ent1:T34,Ent2:T21,
188_230.ann_R5,Support,Ent1:T1,Ent2:T36,
188_230.ann_R6,Support,Ent1:T4,Ent2:T36,
188_230.ann_R7,Support,Ent1:T36,Ent2:T21,
195_163.ann_R1,Support,Ent1:T10,Ent2:T18,
195_163.ann_R2,Support,Ent1:T1,Ent2:T8,
195_163.ann_R3,Support,Ent1:T2,Ent2:T8,
195_163.ann_R4,Support,Ent1:T18,Ent2:T7,
195_163.ann_R5,Support,Ent1:T10,Ent2:T7,
195_163.ann_R6,Attack,Ent1:T19,Ent2:T3,
195_163.ann_R7,Attack,Ent1:T19,Ent2:T4,
195_163.ann_R8,Attack,Ent1:T19,Ent2:T5,
129_81.ann_R1,Support,Ent1:T13,Ent2:T5,
129_81.ann_R2,Support,Ent1:T2,Ent2:T5,
129_81.ann_R3,Support,Ent1:T15,Ent2:T5,
129_81.ann_R4,Support,Ent1:T14,Ent2:T5,
129_81.ann_R5,Support,Ent1:T17,Ent2:T5,
129_81.ann_R6,Support,Ent1:T13,Ent2:T17,
129_81.ann_R7,Support,Ent1:T15,Ent2:T17,
139_166.ann_R1,Attack,Ent1:T24,Ent2:T10,
139_166.ann_R2,Attack,Ent1:T3,Ent2:T10,
139_166.ann_R3,Attack,Ent1:T25,Ent2:T11,
139_166.ann_R4,Attack,Ent1:T2,Ent2:T11,
139_166.ann_R5,Support,Ent1:T27,Ent2:T16,
139_166.ann_R6,Support,Ent1:T30,Ent2:T16,
139_166.ann_R7,Support,Ent1:T7,Ent2:T16,
139_166.ann_R8,Support,Ent1:T4,Ent2:T16,
139_166.ann_R9,Support,Ent1:T32,Ent2:T16,
139_166.ann_R10,Support,Ent1:T33,Ent2:T16,
101_86.ann_R1,Attack,Ent1:T21,Ent2:T13,
101_86.ann_R4,Support,Ent1:T26,Ent2:T16,
101_86.ann_R6,Support,Ent1:T27,Ent2:T16,
101_86.ann_R7,Support,Ent1:T28,Ent2:T16,
101_86.ann_R2,Support,Ent1:T2,Ent2:T16,
101_86.ann_R3,Support,Ent1:T4,Ent2:T16,
101_86.ann_R5,Support,Ent1:T9,Ent2:T16,
104_91.ann_R2,Support,Ent1:T5,Ent2:T11,
104_91.ann_R3,Support,Ent1:T5,Ent2:T18,
104_91.ann_R1,Attack,Ent1:T9,Ent2:T18,
186_67.ann_R1,Attack,Ent1:T33,Ent2:T8,
186_67.ann_R2,Support,Ent1:T33,Ent2:T18,
186_67.ann_R3,Support,Ent1:T33,Ent2:T21,
186_67.ann_R4,Support,Ent1:T33,Ent2:T27,
186_67.ann_R5,Support,Ent1:T35,Ent2:T20,
186_67.ann_R6,Support,Ent1:T40,Ent2:T38,
186_67.ann_R7,Attack,Ent1:T38,Ent2:T23,
186_67.ann_R8,Attack,Ent1:T38,Ent2:T28,
186_67.ann_R9,Support,Ent1:T41,Ent2:T28,
186_67.ann_R10,Support,Ent1:T43,Ent2:T23,
186_67.ann_R11,Support,Ent1:T49,Ent2:T20,
186_67.ann_R12,Support,Ent1:T51,Ent2:T20,
186_67.ann_R13,Support,Ent1:T53,Ent2:T20,
186_67.ann_R14,Attack,Ent1:T55,Ent2:T14,
186_67.ann_R15,Support,Ent1:T61,Ent2:T20,
148_158.ann_R1,Support,Ent1:T1,Ent2:T15,
148_158.ann_R2,Support,Ent1:T18,Ent2:T5,
148_158.ann_R3,Support,Ent1:T17,Ent2:T18,
148_158.ann_R4,Attack,Ent1:T19,Ent2:T7,
148_158.ann_R5,Attack,Ent1:T19,Ent2:T8,
148_158.ann_R6,Attack,Ent1:T19,Ent2:T9,
148_158.ann_R7,Attack,Ent1:T20,Ent2:T8,
148_158.ann_R8,Attack,Ent1:T20,Ent2:T9,
148_158.ann_R9,Attack,Ent1:T20,Ent2:T7,
148_158.ann_R10,Support,Ent1:T1,Ent2:T22,
148_158.ann_R11,Support,Ent1:T2,Ent2:T22,
148_158.ann_R12,Support,Ent1:T4,Ent2:T22,
148_158.ann_R13,Support,Ent1:T22,Ent2:T5,
148_158.ann_R14,Support,Ent1:T23,Ent2:T22,
148_158.ann_R15,Support,Ent1:T25,Ent2:T22,
148_158.ann_R16,Support,Ent1:T26,Ent2:T22,
148_158.ann_R17,Support,Ent1:T27,Ent2:T22,
148_158.ann_R18,Support,Ent1:T29,Ent2:T22,
148_158.ann_R19,Support,Ent1:T30,Ent2:T22,
148_158.ann_R20,Support,Ent1:T32,Ent2:T22,
148_158.ann_R21,Support,Ent1:T33,Ent2:T22,
148_158.ann_R22,Support,Ent1:T34,Ent2:T22,
148_158.ann_R23,Support,Ent1:T36,Ent2:T35,
