ID,CLASS,IDX_B,IDX_O,TEXT
183_64.ann_T11,Claim,532,662,"Refeeding syndrome occurs in patients with previous malnutrition exposed to either oral, enteral or parenteral nutritional therapy"
183_64.ann_T13,Claim,664,713,All responses are causes of malnutrition except 3
111_153.ann_T1,Premise,57,218,"A 59-year-old woman consults a gynecologist for a spontaneous, spontaneous, uniorificial discharge from the right nipple (unilateral) without palpable nodularity"
111_153.ann_T2,Claim,258,359,"Given the hematic nature of the discharge, the most likely diagnosis is infiltrating ductal carcinoma"
111_153.ann_T3,Claim,364,385,Intraductal papilloma
111_153.ann_T4,Claim,512,535,The correct answer is 2
111_153.ann_T5,Claim,390,419,Paget's disease of the nipple
111_153.ann_T6,Claim,424,448,Tumor hyperprolactinemia
111_153.ann_T7,Claim,453,492,Mammography will indicate the diagnosis
111_153.ann_T13,Claim,537,699,"In the presence of unilateral and uniorificial hematic telorrhea, the most frequent cause is intraductal papilloma (50%), followed by ductal ectasia and carcinoma"
111_153.ann_T14,Claim,809,873,"In hyperprolactinemia, telorrhea is bilateral and pluriorificial"
111_153.ann_T16,Claim,766,807,Paget's disease is of the eczematous type
111_153.ann_T18,Claim,701,764,"When associated with palpable mass, 60% correspond to carcinoma"
111_153.ann_T23,Claim,875,965,"Mammography often does not show papillomas, being more useful ultrasound and galactography"
127_77.ann_T1,Premise,58,305,"A 32-year-old diabetic patient on insulin therapy with good control of his blood glucose levels comes to your office with tingling in both hands, with a sensation of corking and thermal insensitivity of progressive onset over the course of 2 weeks"
127_77.ann_T3,Premise,307,400,"She does not report visual disturbances, strength deficit, motor clumsiness or other symptoms"
127_77.ann_T4,Premise,402,548,On examination she found anesthesia to pain and temperature in both hands and distal forearms; positional and vibratory sensitivity were preserved
127_77.ann_T5,Premise,550,596,There is no muscle atrophy or strength deficit
127_77.ann_T6,Premise,598,640,Muscle reflexes are normal and symmetrical
127_77.ann_T7,Premise,642,703,"There is no dysmetria, dysdiadochokinesia or intention tremor"
127_77.ann_T8,Premise,705,764,The rest of the neurological examination is strictly normal
127_77.ann_T9,Claim,818,894,Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause
127_77.ann_T10,Claim,899,938,Compressive cervical spinal cord injury
127_77.ann_T14,Claim,943,975,Bilateral carpal tunnel syndrome
127_77.ann_T15,Claim,980,1025,Multiple sclerosis type demyelinating disease
127_77.ann_T17,Claim,1030,1065,Central cervical spinal cord injury
127_77.ann_T19,Premise,1135,1407,"He presents a diabetic patient on insulin treatment with good control (although diabetic neuropathies do not only develop in patients with poor control) with a sensory picture limited to the upper limbs and of short onset time, without motor symptoms or at any other level"
127_77.ann_T20,Premise,1409,1535,In the examination there is a clear dissociation with thermoalgesic anesthesia and preservation of arthrokinetic and vibratory
127_77.ann_T21,Premise,1537,1587,"Reflexes are normal, neither abolished nor exalted"
127_77.ann_T24,Premise,1589,1648,"In addition, the rest of the examination is strictly normal"
127_77.ann_T25,Claim,1650,1871,"With all this I believe that the correct answer is 5, that is a syringomyelic lesion, whose initial characteristic is the sensitive dissociation with anesthesia for the thermoalgesic and conservation of the posterior cord"
127_77.ann_T29,Claim,1873,2062,"MS and other spinal cord lesions would be accompanied by other exploratory signs such as exaltation of reflexes, for carpal tunnel the exploration exceeds the territory distal to the carpus"
127_77.ann_T30,Claim,2064,2193,"and as for answer 1, although there are forms of peripheral polyneuropathy ""pseudosyringomyelic"" they are usually of lumbar onset"
127_77.ann_T31,Claim,2195,2376,"The short evolution time (2 weeks), the respect of the lower limbs and the preservation of muscle reflexes make me rule out this response despite the distribution being ""glove-like"""
184_65.ann_T1,Premise,45,115,A patient with obesity (body mass index 38) is referred to your office
184_65.ann_T2,Premise,117,340,"In the clinical history the patient refers that he/she has been obese since the age of 17 (currently 36 years old), having been on multiple diets with weight loss ranging from 5 to 10 kg but has subsequently regained weight"
184_65.ann_T3,Premise,342,522,"The patient is currently on a 1500 Kcal diet (self-administered and not restricted in fat) with a good follow-up of this diet, performing one hour of aerobic exercise 4 days a week"
184_65.ann_T4,Premise,524,583,She has lost 3 kg but needs an additional loss of 7 kg more
184_65.ann_T10,Claim,694,702,Orlistat
184_65.ann_T11,Claim,707,717,Topiramate
184_65.ann_T12,Claim,722,733,Sibutramine
184_65.ann_T13,Claim,738,749,Liraglutide
184_65.ann_T14,Claim,754,763,Metformin
184_65.ann_T15,Claim,783,884,Orlistat acts by decreasing fat absorption; it is currently the only drug approved for use in obesity
130_82.ann_T1,Premise,58,246,"An 18-year-old female patient with a history of absences between 6 and 9 years of age, generalized tonic-clonic seizures of recent onset and violent jumping of the upper limbs at breakfast"
130_82.ann_T2,Premise,248,313,The clinical manifestations worsen with nighttime weekend outings
130_82.ann_T4,Premise,315,375,An EEG shows acute polyp spike discharges at 6 cycles/second
130_82.ann_T5,Claim,410,433,Great epileptic disease
130_82.ann_T7,Claim,438,461,Lennox-Gastaut syndrome
130_82.ann_T9,Claim,466,519,Symptomatic epilepsy due to mesial temporal sclerosis
130_82.ann_T13,Claim,524,546,Small atypical disease
130_82.ann_T15,Claim,551,578,Juvenile myoclonic epilepsy
130_82.ann_T17,Claim,598,787,"A patient of adolescent age with myoclonus (""violent jumps"") at breakfast time will almost always lead us to juvenile myoclonic epilepsy (answer 5 correct), a very well characterized entity"
130_82.ann_T18,Premise,789,995,"Among other features is the previous history of seizures or absences, the worsening with nighttime departures, and the EEG with generalized polyp spike discharges at a higher frequency than that of absences"
130_82.ann_T20,Claim,1023,1088,Lennox Gastaut develops at an early age with other symptomatology
130_82.ann_T21,Claim,1090,1115,4 is the same as absences
130_82.ann_T24,Claim,1121,1235,"3 usually presents with complex partial seizures and either way, the EEG is clearly distinct from a temporal focus"
197_71.ann_T1,Premise,41,159,A 10-year-old boy with brief episodes of distractibility (< 1 minute) in which he does not respond to calls and blinks
197_71.ann_T3,Premise,161,218,An EEG shows spike-wave discharges at 3 cycles per second
197_71.ann_T9,Claim,268,277,Valproate
197_71.ann_T10,Claim,282,295,Carbamazepine
197_71.ann_T11,Claim,300,309,Phenytoin
197_71.ann_T12,Claim,314,324,Gabapentin
197_71.ann_T13,Claim,329,339,Clonazepam
197_71.ann_T14,Claim,359,708,"Absences behave as brief episodes of abrupt loss of consciousness without alteration of postural control; they typically last seconds and can be repeated many times a day, are usually accompanied by small bilateral motor signs (blinking, chewing) and consciousness is recovered equally abruptly, without subsequent confusion or memory of the episode"
197_71.ann_T15,Claim,742,868,"The age of onset is usually between 4 years and early adolescence, being the most frequent cause of seizures in this age range"
197_71.ann_T17,Claim,870,1096,"EEG findings are typically generalized and symmetrical spike-wave discharges at 3 Hz (MIR 99-00F, 67) coinciding with seizures, although in the interictal EEG there are more periods of abnormal activity than clinically visible"
197_71.ann_T20,Claim,1098,1198,The most appropriate drugs for the treatment of absences are Valproate and Ethosuximide (CTO Manual)
146_231.ann_T1,Premise,42,156,A 7-month-old infant comes to the emergency department referred by his pediatrician for suspected Kawasaki disease
146_231.ann_T3,Premise,158,333,He reports a fever of up to 39.5ºC of 5 days evolution that does not subside despite treatment with amoxicillin prescribed 72 hours ago for suspected acute pharyngotonsillitis
146_231.ann_T7,Premise,335,522,During the last 24 hours he has had erythematous and pruritic exanthema of cephalocaudal evolution and during the last few days his parents have noticed a cough and intense conjunctivitis
146_231.ann_T8,Premise,524,550,No rhinorrhea was reported
146_231.ann_T9,Premise,552,662,Clinical examination showed subcrepitant in both lung bases without tachypnea or signs of respiratory distress
146_231.ann_T10,Premise,664,736,On oropharyngeal examination there are whitish spots in the jugal mucosa
146_231.ann_T11,Claim,778,794,Kawasaki disease
146_231.ann_T12,Claim,799,812,Scarlet fever
146_231.ann_T13,Claim,817,849,Allergic reaction to amoxicillin
146_231.ann_T14,Claim,854,878,Infectious mononucleosis
146_231.ann_T15,Claim,883,890,Measles
146_231.ann_T20,Claim,910,933,The correct answer is 5
146_231.ann_T25,Claim,935,1216,"The clue is in the whitish lesions of the jugal mucosa corresponding to Koplik's spots, which are pathognomonic of measles, although as an observation I would say that they usually appear in the prodromal phase of the disease and are often no longer seen when the exanthema appears"
146_231.ann_T26,Claim,1218,1282,In this case you are describing measles complicated by pneumonia
157_73.ann_T1,Premise,60,289,"A 75-year-old patient with significant gonarthrosis with ""Genu Varo"" that causes marked functional impotence, limited mobility and continuous pain that requires continuous antirheumatic, anti-inflammatory and analgesic medication"
157_73.ann_T3,Claim,343,374,Arthroscopic lavage of the knee
157_73.ann_T4,Claim,379,414,Rehabilitation of the affected knee
157_73.ann_T5,Claim,419,452,Arthroplasty of the affected knee
157_73.ann_T6,Claim,457,522,Abduction supratuberosity tibial supratuberosity tibial osteotomy
157_73.ann_T7,Claim,527,543,Knee synovectomy
157_73.ann_T13,Premise,563,740,We are dealing with a patient who has exhausted the pharmacological route given that he takes everything and has two important problems: genu varum and an important gonarthrosis
157_73.ann_T15,Claim,742,836,"This means that we can do nothing with an arthroscopy, let alone a synovectomy (1 and 5 false)"
157_73.ann_T18,Claim,838,1014,"The genu varum could falsely make us think about an osteotomy, however even if we did it and corrected the varus now the damage is already done and the osteoarthrosis is severe"
157_73.ann_T22,Claim,1016,1122,Perhaps years ago before the osteoarthritis took place it would have been resolutive but not now (4 false)
157_73.ann_T24,Claim,1124,1269,"In addition, in order to consider an osteotomy, we should be given more data to know which bone to apply the osteotomy on, the tibia or the femur"
157_73.ann_T26,Claim,1271,1569,"Finally, we may think that it is best to first try rehabilitation before considering surgery, but I discard this option because the question emphasizes that we have exhausted pharmacological measures (although it could be considered because they have not specified whether it has been tried or not)"
157_73.ann_T29,Claim,1571,1692,In any case with the knee prosthesis we correct the problem of osteoarthritis pain and we can also correct the knee varus
174_52.ann_T1,Premise,42,137,A 67-year-old man consults for moderate exertional dyspnea of progressive onset in recent years
174_52.ann_T2,Premise,139,251,"He has daily whitish expectoration and sometimes breath sounds, especially in winter with respiratory infections"
174_52.ann_T3,Premise,253,324,He has been a smoker of about 20 cigarettes a day for the last 45 years
174_52.ann_T4,Premise,326,505,"On examination he is eupneic, normocolored, with an oxygen saturation of 94%, and has generalized decreased vesicular murmur on chest auscultation as the only findings of interest"
174_52.ann_T6,Premise,507,639,"Chest X-ray shows an elongated cardiac silhouette, with signs of hyperinflation or pulmonary air trapping, without other alterations"
174_52.ann_T8,Premise,641,756,"Spirometry was performed with the following result: FVC 84%, FEV1 58%, FEV1/FVC 61%, unchanged after bronchodilator"
174_52.ann_T14,Claim,842,870,Daily inhaled corticosteroid
174_52.ann_T15,Claim,875,937,Home oxygen therapy with portable oxygen source for ambulation
174_52.ann_T16,Claim,942,969,Oral leukotriene antagonist
174_52.ann_T17,Claim,974,1010,Oral corticosteroid for three months
174_52.ann_T18,Claim,1015,1033,Inhaled tiotropium
174_52.ann_T19,Claim,1053,1230,"In a patient with a low symptomatic COPD that could probably be classified as GOLD 2, the starting treatment can be either with inhaled tiotropium or with a long-acting beta two"
174_52.ann_T20,Claim,1232,1281,Therefore there is no doubt in the correct answer
196_164.ann_T1,Premise,42,153,A 4-year-old boy consulted for the appearance over the last three days of skin lesions on the legs and buttocks
196_164.ann_T2,Premise,155,264,His parents reported that his pediatrician had diagnosed an upper respiratory tract infection 10 days earlier
196_164.ann_T4,Premise,266,360,In the last 12 hours she presented intense colicky abdominal pain and had two diarrheal stools
196_164.ann_T5,Premise,362,370,Afebrile
196_164.ann_T6,Premise,372,386,No weight loss
196_164.ann_T7,Premise,388,511,On examination she has numerous petechiae and palpable purpuric lesions predominantly on the buttocks and lower extremities
196_164.ann_T8,Premise,513,575,Good general condition although she has intense abdominal pain
196_164.ann_T10,Premise,577,639,Abdominal palpation is difficult to assess due to diffuse pain
196_164.ann_T11,Premise,641,657,No visceromegaly
196_164.ann_T12,Premise,659,703,No other findings of interest on examination
196_164.ann_T17,Claim,780,804,Knee and ankle arthritis
196_164.ann_T18,Claim,809,818,Hematuria
196_164.ann_T19,Claim,823,837,Plateletopenia
196_164.ann_T20,Claim,842,860,Fecal occult blood
196_164.ann_T21,Claim,865,878,Scrotal edema
196_164.ann_T22,Claim,898,1022,"You are describing a Schönlein-Henoch purpura which is a vasculitic phenomenon, so the lesions are not due to plateletopenia"
196_164.ann_T25,Claim,1024,1149,Scrotal edema (sometimes even torsion of Morgani's capsid of the testis) is not exceptional in males with S. Schönlein-Henoch
190_94.ann_T1,Premise,42,219,"An 18-month-old boy, with complete immunization schedule to date, who consults the Emergency Department for right knee swelling after playing in the park, without obvious trauma"
190_94.ann_T2,Premise,221,308,"In the directed anamnesis, the mother refers that an uncle of hers had similar problems"
190_94.ann_T6,Premise,310,460,The ultrasound examination is compatible with hemarthrosis and in the analytical analysis only an APTT lengthening of 52'' (normal 25-35'') stands out
190_94.ann_T10,Claim,589,601,Hemophilia A
190_94.ann_T15,Claim,649,841,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia"
190_94.ann_T17,Claim,606,629,Bernard-Soulier disease
190_94.ann_T18,Claim,563,584,Ehlers-Danlos disease
190_94.ann_T19,Claim,534,558,Von-Willebrand's disease
190_94.ann_T20,Claim,514,529,Marfan syndrome
107_206.ann_T1,Premise,55,250,"An 8-year-old girl (index case) is clinically diagnosed as having neurofibromatosis type 1 (NF1) or Von Recklinghausen's disease with multiple neurofibromas, café-au-lait spots, and Lisch nodules"
107_206.ann_T4,Premise,252,337,Her father (not diagnosed with NF1) died in a traffic accident at the age of 38 years
107_206.ann_T5,Premise,355,526,the mother presents two café-au-lait spots and attends the genetic counseling consultation with her new partner where a preimplantation genetic diagnosis (PGD) is proposed
107_206.ann_T7,Claim,562,660,"Yes, as the mother has 2 café-au-lait spots, she is a carrier and PGD is indicated with these data"
107_206.ann_T8,Claim,665,769,It is indicated after detection of the causative mutation in the index case and eventually in his mother
107_206.ann_T9,Claim,774,891,"It is not indicated because NF1 responds to mutations in the neurofibromin gene (17q11.2), with recessive inheritance"
107_206.ann_T15,Claim,896,1019,"No, two café-au-lait spots are not diagnostic and your new partner is very unlikely to be a carrier (NF1 is a rare disease)"
107_206.ann_T16,Claim,1024,1161,"With these data, PGD is indicated, consisting of selecting embryos in vitro, to implant in the maternal uterus those without the mutation"
107_206.ann_T17,Claim,1181,1288,"The first step is to detect the mutation and once detected, if the mother is a carrier, to proceed with PGD"
120_192.ann_T1,Premise,68,171,A 40-year-old orthopedic surgeon who in a routine serology was found to have anti-HBs levels of 30 IU/l
120_192.ann_T2,Premise,173,274,He refers complete vaccination according to the standard hepatitis B vaccination schedule 4 years ago
120_192.ann_T4,Claim,302,345,Restart vaccination schedule (0-1-6 months)
120_192.ann_T5,Claim,350,396,Restart vaccination schedule (0-1-2-12 months)
120_192.ann_T6,Claim,401,419,Do not revaccinate
120_192.ann_T9,Claim,424,443,Give a booster dose
120_192.ann_T11,Claim,448,535,Give anti-hepatitis B immunoglobulin and restart vaccination schedule (0-1-2-12 months)
120_192.ann_T14,Claim,555,653,As long as the serological levels of anti-HBs are above 10 IU/l it is not necessary to revaccinate
116_101.ann_T1,Premise,42,220,"A 25-year-old woman who wishes to become pregnant and wants to know what treatment she should take during the eventual pregnancy, as she is a heterozygous factor V Leiden carrier"
116_101.ann_T2,Premise,222,264,She has never had any thrombotic phenomena
116_101.ann_T3,Premise,266,382,The determination of this factor was performed as a family study after an episode of pulmonary embolism in a sibling
116_101.ann_T5,Claim,421,551,"Since pregnancy is a prothrombotic state, there would be a high risk of venous thromboembolism, so pregnancy should be discouraged"
116_101.ann_T8,Claim,556,713,"Treatment with low molecular weight heparin at prophylactic doses should be carried out in the immediate puerperium, with optional follow-up during pregnancy"
116_101.ann_T10,Claim,718,845,Factor V Leiden in heterozygosis is a low-risk thrombophilia and there is no need for any treatment in pregnancy and puerperium
116_101.ann_T11,Claim,850,916,Low-dose aspirin should be advised during pregnancy and puerperium
116_101.ann_T13,Claim,921,988,Treatment with antivitamin K drugs (acenocoumarol) during pregnancy
116_101.ann_T15,Claim,1008,1164,"Reading the answers, the first thing that is clear to us is that acenocoumarol should NOT be given to a pregnant woman because of the risk of teratogenicity"
116_101.ann_T16,Claim,1249,1268,We discard answer 5
116_101.ann_T17,Claim,1270,1420,"Second: if treatment is given, it should be during the entire pregnancy, prothrombotic status is not only during the puerperium, so answer 2 discarded"
116_101.ann_T18,Claim,1422,1553,Advise a woman not to become pregnant when there are treatments that ensure a very low risk of thrombosis and/or fetal involvement?
116_101.ann_T19,Claim,1554,1572,Answer 1 discarded
116_101.ann_T20,Claim,1574,1691,We are left with the possibility of not giving any treatment because it is low risk or administering low-dose aspirin
116_101.ann_T21,Claim,1693,1874,"It is true that factor V Leiden in heterozygosis is classified as low risk, who has not presented a previous thrombotic episode nor is there a combination with another thrombophilia"
116_101.ann_T22,Claim,1876,2253,"if we look at the CHEST guide, VIII edition and review what was said at the last congress of the Spanish Society of Gynecology and Obstetrics, we see that aspirin is used in case of phospholipid syndrome and that in the case of this woman, without previous thrombosis, without previous abortions (at least two are needed) and also being heterozygous, treatment is not necessary"
116_101.ann_T23,Claim,2255,2272,"Correct answer, 3"
123_223.ann_T1,Premise,44,95,"Pregnant woman, 27 years old, 30 weeks of gestation"
123_223.ann_T2,Premise,97,207,She comes to the emergency room because she noticed pain in the left lumbar region and dysuria since yesterday
123_223.ann_T3,Premise,209,237,She has no febrile sensation
123_223.ann_T4,Premise,239,289,She refers repeated urinary tract infections (UTI)
123_223.ann_T6,Premise,291,414,"Urinalysis shows Hb 3+, leukocytes 3+, nitrites 2+, sediment: 15-20 leukocytes per field and 5-10 red blood cells per field"
123_223.ann_T7,Claim,505,521,Escherichia coli
123_223.ann_T8,Claim,526,547,Enterococcus faecalis
123_223.ann_T9,Claim,552,576,Streptococcus agalactiae
123_223.ann_T10,Claim,581,598,Proteus mirabilis
123_223.ann_T11,Claim,603,631,Satphylococcus saprophyticus
123_223.ann_T12,Claim,651,686,The correct answer is the first one
123_223.ann_T13,Claim,688,801,The most frequent cause of urinary tract infections is Escherichia coli and in the case of pregnant women as well
109_149.ann_T1,Premise,57,168,A 32-year-old asymptomatic woman goes for a gynecological health check-up because she wishes to become pregnant
109_149.ann_T2,Premise,170,359,"During this check-up, a 4cm uterine myoma is detected, partly intramural and partly subserosal, located on the anterior aspect of the uterus and which does not deform the endometrial cavity"
109_149.ann_T4,Claim,399,422,Laparoscopic myomectomy
109_149.ann_T6,Claim,427,449,Laparotomic myomectomy
109_149.ann_T8,Claim,454,500,Myoma embolization by arterial catheterization
109_149.ann_T10,Claim,505,580,Treatment with Gn-Rh analogues for three months before attempting pregnancy
109_149.ann_T12,Claim,585,636,Attempting pregnancy without any previous treatment
109_149.ann_T13,Claim,656,679,The correct answer is 5
109_149.ann_T14,Claim,681,790,An asymptomatic myoma of this size that does not deform the endometrial cavity is not a problem for pregnancy
199_74.ann_T1,Premise,41,180,"In a patient presenting in the second decade of life with a progressive picture of parkinsonism, tremor, dystonia and behavioral alteration"
199_74.ann_T2,Claim,182,344,you should always perform a study to rule out the presence of a disease whose appropriate treatment can improve neurological symptoms and stop the clinical course
199_74.ann_T9,Claim,369,389,Huntington's disease
199_74.ann_T10,Claim,394,410,Wilson's disease
199_74.ann_T11,Claim,415,434,Tourette's syndrome
199_74.ann_T12,Claim,439,456,Sydenham's chorea
199_74.ann_T13,Claim,461,495,Juvenile-onset Parkinson's disease
199_74.ann_T14,Claim,515,690,"The key in the question is ""stopping the clinical course"", as Hungtinton's disease, Tourette's and Parkinson's disease do not have treatments that can stop the clinical course"
199_74.ann_T19,Claim,692,820,Sydenham's chorea is typical of younger children with a history of streptococcal infection and resolution is usually spontaneous
199_74.ann_T23,Claim,822,968,"On the other hand, in clinical cases it is recommended to rule out Wilson's disease in young patients with movement and neuropsychiatric disorders"
173_51.ann_T1,Premise,42,125,A 53-year-old woman with bronchial asthma comes to the allergy clinic for a checkup
173_51.ann_T3,Premise,127,273,"She reports repeated exacerbations with nocturnal symptoms, frequent use of rescue medication and dyspnea on exertion when walking on level ground"
173_51.ann_T4,Premise,275,350,Spirometry shows a pre-bronchodilator FEV1/FVC ratio of 60% and FEV1 of 55%
173_51.ann_T6,Premise,352,412,Skin tests are positive for mites and total IgE of 150 IU/ml
173_51.ann_T8,Claim,414,587,"The patient is being treated with a combination of high-dose salmeterol/budesonide (50/500 mg: 2 puffs twice daily), maintenance oral prednisone (10 mg/day) and theophylline"
173_51.ann_T9,Claim,668,689,Add magnesium sulfate
173_51.ann_T10,Claim,694,738,Increase the dose of prednisone to 30 mg/day
173_51.ann_T13,Claim,743,757,Add omalizumab
173_51.ann_T15,Claim,762,789,Nebulized treatment at home
173_51.ann_T17,Claim,794,862,Switch to a combination with high doses of budesonide and formoterol
173_51.ann_T22,Claim,882,1167,"The indication of omalizumab in a patient such as the one referred to is a correct indication, although in severe asthma that is difficult to control, there are other prior measures that are not contemplated and that must always be taken into account before resorting to this treatment"
173_51.ann_T24,Claim,1169,1272,It is mandatory to ensure firstly that it is truly asthma and not another disease that simulates asthma
173_51.ann_T29,Claim,1274,1488,"secondly that there are no complications that worsen the evolution as could be the presence of gastroesophageal reflux, bronchiectasis, presence of opportunistic germs given the chronic treatment with steroids, etc"
173_51.ann_T30,Claim,1494,1624,"thirdly, it is necessary to confirm that the patient complies with the treatments correctly, especially the inhaled treatment, etc"
173_51.ann_T31,Claim,1626,1725,"Once all of the above has been checked, it would be time to start a trial treatment with omalizumab"
182_61.ann_T1,Premise,45,169,A 76-year-old woman consults us because she is concerned about her risk of stroke since her mother died of stroke a year ago
182_61.ann_T2,Premise,171,316,"She is diagnosed with arterial hypertension and type 2 diabetes mellitus and is being treated with glipizide, aspirin, enalapril and atorvastatin"
182_61.ann_T3,Premise,318,375,She smokes 20 cigarettes a day and leads a sedentary life
182_61.ann_T9,Premise,377,434,The examination revealed a blood pressure of 150/80 mm Hg
182_61.ann_T11,Premise,436,512,The blood test shows a hemoglobin A1C of 8% and LDL cholesterol of 110 mg/dl
182_61.ann_T12,Claim,610,648,Achieve optimal blood pressure control
182_61.ann_T13,Claim,653,690,Achieve optimal hemoglobin A1C levels
182_61.ann_T14,Claim,695,730,Add an antioxidant to the treatment
182_61.ann_T15,Claim,735,752,Smoking cessation
182_61.ann_T16,Claim,757,791,Achieve LDL levels below 100 mg/dl
182_61.ann_T17,Claim,811,899,The most influential cardiovascular factor for stroke in women over 70 is blood pressure
105_233.ann_T1,Premise,44,203,"In a 35-year-old patient with a depressive syndrome on treatment with serotonin reuptake inhibitors, the use of the following antimicrobials is contraindicated"
105_233.ann_T5,Claim,208,219,Doxycycline
105_233.ann_T7,Claim,224,251,Amoxicillin-Clavulanic acid
105_233.ann_T9,Claim,256,266,Daptomycin
105_233.ann_T11,Claim,271,280,Linezolid
105_233.ann_T13,Claim,285,295,Vancomycin
105_233.ann_T15,Claim,315,542,"Spontaneous reports of serotonergic syndrome associated with concomitant administration of linezolid and serotonergic agents, including antidepressants such as selective serotonin reuptake inhibitors (SSRIs), have been reported"
153_74.ann_T1,Premise,44,184,A 75-year-old woman consults for violaceous lesions on the hands and neck together with progressive muscle weakness of 3 months of evolution
153_74.ann_T7,Claim,268,299,Determination of serum aldolase
153_74.ann_T8,Claim,304,324,Electroencephalogram
153_74.ann_T9,Claim,329,367,Biopsy of subcutaneous cellular tissue
153_74.ann_T10,Claim,372,418,Determination of anti-smooth muscle antibodies
153_74.ann_T11,Claim,423,457,Genetic study of their descendants
153_74.ann_T12,Claim,477,540,"Given this clinical picture, one possibility is dermatomyositis"
153_74.ann_T13,Claim,542,614,"Of the proposed tests, the determination of serum aldolase may be useful"
153_74.ann_T14,Claim,616,663,Its elevation is characteristic of this disease
153_74.ann_T15,Claim,665,715,The biopsy should be muscular and not subcutaneous
153_74.ann_T16,Claim,717,785,Anti-smooth muscle antibodies are not characteristic of this disease
133_168.ann_T1,Premise,45,115,75-year-old woman diagnosed 3 years ago with soft drusen in the fundus
133_168.ann_T3,Premise,117,250,"She reports presenting, since 2 weeks ago, metamorphopsia and significant visual loss in her right eye that prevents her from reading"
133_168.ann_T4,Claim,293,320,Macular epiretinal membrane
133_168.ann_T5,Claim,325,337,Macular hole
133_168.ann_T6,Claim,342,380,Thrombosis of the central retinal vein
133_168.ann_T7,Claim,385,412,Senile macular degeneration
133_168.ann_T8,Claim,417,449,Central serous chorioretinopathy
133_168.ann_T14,Claim,469,541,"Of the five options, four could be compatible with the referred symptoms"
133_168.ann_T16,Claim,543,689,"We could initially rule out central serous chorioretinopathy because by definition it occurs in young people (up to 55 years of age, more or less)"
133_168.ann_T17,Claim,691,779,The key to differentiate between the other four is that he had soft drusen in the fundus
133_168.ann_T12,Claim,781,948,"That while not a ""diagnosis"" (the question could have been better worded) is a finding related to age-related macular degeneration, or age-related macular degeneration"
